"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Susansiti96: Utk Jenis Vaksin yang diberikan kepada penyintas Covid-19 disesuaikan dengan logistik vaksin yang tersedia guys.",FALSE,0,NA,2021-10-06 16:07:44,FALSE,NA,"1445782838599581697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","budhianto92",4,TRUE,FALSE,NA,NA
"Yuk cari tau kapan waktu yang tepat untuk Vaksin Dosis ke-2..
Jenis Vaksin Covid-19 ada beragam, setiap jenis Vaksi… https://t.co/UFk7DNPBiY",FALSE,0,NA,2021-10-06 16:04:55,TRUE,NA,"1445782127346274308",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lebakkab",0,FALSE,FALSE,NA,NA
"RT @Susansiti96: Utk Jenis Vaksin yang diberikan kepada penyintas Covid-19 disesuaikan dengan logistik vaksin yang tersedia guys.",FALSE,0,NA,2021-10-06 16:02:01,FALSE,NA,"1445781398808252417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sitirogayah96",4,TRUE,FALSE,NA,NA
"RT @Susansiti96: Utk Jenis Vaksin yang diberikan kepada penyintas Covid-19 disesuaikan dengan logistik vaksin yang tersedia guys.",FALSE,0,NA,2021-10-06 15:57:33,FALSE,NA,"1445780274181144579",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Susansiti96",4,TRUE,FALSE,NA,NA
"Pemprov DKI Sediakan 3 Jenis Vaksin untuk Ibu Hamil

 #Sindonews #BukanBeritaBiasa .https://t.co/TwgoZ4At1c",FALSE,4,NA,2021-10-06 15:51:54,FALSE,NA,"1445778854027485193",NA,"<a href=""https://www.sindonews.com/"" rel=""nofollow"">SINDOnews</a>","SINDOnews",1,FALSE,FALSE,NA,NA
"RT @JPenerangan: Setiap jenis vaksin yang diterima oleh anda mempunyai fungsi yang sama iaitu mengurangkan risiko jangkitan. Oleh itu, elak…",FALSE,0,NA,2021-10-06 15:48:11,FALSE,NA,"1445777916223127553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nadzri1416",194,TRUE,FALSE,NA,NA
"RT @PRFMnews: RT @Bandung_Dinkes: Wargi Bandung, silakan cek informasi jenis-jenis vaksinasi covid-19 di Kota Bandung &amp; tempat yg menyediak…",FALSE,0,NA,2021-10-06 15:47:59,FALSE,NA,"1445777865522364419",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ygdibuah_hi",11,TRUE,FALSE,NA,NA
"RT @ay_pengembara: Berasal dari Puskesmas pada Dinas Kesehatan Kota Ambon dan Tim dari TNI.

Jenis vaksin yg digunakan yakni Sinovac , Astr…",FALSE,0,NA,2021-10-06 15:43:26,FALSE,NA,"1445776724193529860",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1ms1C",6,TRUE,FALSE,NA,NA
"RT @ay_pengembara: Berasal dari Puskesmas pada Dinas Kesehatan Kota Ambon dan Tim dari TNI.

Jenis vaksin yg digunakan yakni Sinovac , Astr…",FALSE,0,NA,2021-10-06 15:40:55,FALSE,NA,"1445776088408334344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","s1b4d",6,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:31:43,FALSE,NA,"1445773773093818376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZulkhairiZamri",201,TRUE,FALSE,NA,NA
"@rumillionnn @RafiCounsel ada antivaks tegar dgn pro safety spt yg dato nazim ckp. xpelah. yg penting, org xnk amek… https://t.co/ZsEbSmCC6G",FALSE,0,"rumillionnn",2021-10-06 15:31:18,TRUE,"1445772889781768204","1445773667250569232","1403042101965643777","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MKefahaman",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:28:00,FALSE,NA,"1445772839617847301",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elyqafarra",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:25:11,FALSE,NA,"1445772129824169988",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diniedurrani_",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:19:22,FALSE,NA,"1445770666800652308",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Asyyrff",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:15:28,FALSE,NA,"1445769683370606600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smshazwan",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:12:29,FALSE,NA,"1445768931965165586",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MinAbdulAziz",201,TRUE,FALSE,NA,NA
"RT @ay_pengembara: Berasal dari Puskesmas pada Dinas Kesehatan Kota Ambon dan Tim dari TNI.

Jenis vaksin yg digunakan yakni Sinovac , Astr…",FALSE,0,NA,2021-10-06 15:09:28,FALSE,NA,"1445768175111442444",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gusra_kus",6,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:08:14,FALSE,NA,"1445767861977317384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shamira_salleh",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:07:04,FALSE,NA,"1445767570473177095",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SBukhari_Muslim",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:04:18,FALSE,NA,"1445766875346968585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","badariahnabilah",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:03:48,FALSE,NA,"1445766747961761797",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","madnurrrr",201,TRUE,FALSE,NA,NA
"@bertanyarl Tergantung jenis vaksinny deh keknya nder. Soalny aku s¡n0vac cepet begitu selesai dapet yg kertas itu… https://t.co/W1lwoqUMfJ",FALSE,0,"bertanyarl",2021-10-06 15:03:33,TRUE,"1445764535911018522","1445766686414491660","740913957293068289","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ViraFFawzya19",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:03:18,FALSE,NA,"1445766620635222021",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","noraxnoya",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:01:31,FALSE,NA,"1445766173736325133",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aliffsahli",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 15:00:26,FALSE,NA,"1445765899621855247",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kasyah_27",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:59:47,FALSE,NA,"1445765736362745867",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","frsharsln_",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:59:40,FALSE,NA,"1445765707396890633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","badamyr",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:59:38,FALSE,NA,"1445765700581134342",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aidilhazard",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:59:22,FALSE,NA,"1445765633463836678",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yes_Ma_G",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:58:05,FALSE,NA,"1445765310376599555",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","luv3daisy",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:58:03,FALSE,NA,"1445765299198828554",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nightdevilkids",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:55:42,FALSE,NA,"1445764710519873554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leoomi96",201,TRUE,FALSE,NA,NA
"Aku ni kalaulah jenis atas pagar antara nak join anti vaksin or pro vaksin, aku turun pagar tu terajang geng anti v… https://t.co/LdlCdS7oEm",FALSE,0,"cleo_mejar09",2021-10-06 14:55:10,TRUE,"1445764191365730317","1445764577392611343","368852183","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cleo_mejar09",0,FALSE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:54:17,FALSE,NA,"1445764353072844801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yamatoisaki",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:54:15,FALSE,NA,"1445764343300169735",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","butterbean99__",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:54:08,FALSE,NA,"1445764316687319041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jsuzana98",201,TRUE,FALSE,NA,NA
"RT @zamirmohyedin: Baru ini, UiTM terima lebih RM20 juta dana penyelidikan dari kerajaan, melibatkan 206 jenis kajian. Bayangkan kalau RM20…",FALSE,0,NA,2021-10-06 14:52:18,FALSE,NA,"1445763853552271365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theclockwork23",201,TRUE,FALSE,NA,NA
